Year,Category,Bias ,Value
1991,Race,Anti-American Indian or Alaska Native,11
1991,Race,Anti-Arab,73
1991,Race,Anti-Asian,269
1991,Race,Anti-Black or African American,"1,624"
1991,Race,Anti-Hispanic or Latino,231
1991,Race,"Anti-Multiple Races, Group",86
1991,Race,Anti-Other Race/Ethnicity/Ancestry,132
1991,Race,Anti-White,837
1991,Religion,Anti-Atheism/Agnosticism,4
1991,Religion,Anti-Catholic,19
1991,Religion,Anti-Islamic (Muslim),10
1991,Religion,Anti-Jewish,793
1991,Religion,"Anti-Multiple Religions, Group",11
1991,Religion,Anti-Other Religion,50
1991,Religion,Anti-Protestant,26
1991,Sexual Orientation,Anti-Bisexual,1
1991,Sexual Orientation,Anti-Gay (Male),290
1991,Sexual Orientation,Anti-Heterosexual,3
1991,Sexual Orientation,Anti-Lesbian (Female),43
1991,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",68
1992,Race,Anti-American Indian or Alaska Native,26
1992,Race,Anti-Arab,60
1992,Race,Anti-Asian,222
1992,Race,Anti-Black or African American,"2,311"
1992,Race,Anti-Hispanic or Latino,371
1992,Race,"Anti-Multiple Races, Group",145
1992,Race,Anti-Other Race/Ethnicity/Ancestry,241
1992,Race,Anti-White,"1,349"
1992,Religion,Anti-Atheism/Agnosticism,1
1992,Religion,Anti-Catholic,18
1992,Religion,Anti-Islamic (Muslim),15
1992,Religion,Anti-Jewish,"1,020"
1992,Religion,"Anti-Multiple Religions, Group",14
1992,Religion,Anti-Other Religion,69
1992,Religion,Anti-Protestant,28
1992,Sexual Orientation,Anti-Bisexual,3
1992,Sexual Orientation,Anti-Gay (Male),561
1992,Sexual Orientation,Anti-Heterosexual,14
1992,Sexual Orientation,Anti-Lesbian (Female),93
1992,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",100
1993,Race,Anti-American Indian or Alaska Native,28
1993,Race,Anti-Arab,55
1993,Race,Anti-Asian,260
1993,Race,Anti-Black or African American,"2,821"
1993,Race,Anti-Hispanic or Latino,416
1993,Race,"Anti-Multiple Races, Group",161
1993,Race,Anti-Other Race/Ethnicity/Ancestry,225
1993,Race,Anti-White,"1,475"
1993,Religion,Anti-Atheism/Agnosticism,3
1993,Religion,Anti-Catholic,32
1993,Religion,Anti-Islamic (Muslim),13
1993,Religion,Anti-Jewish,"1,140"
1993,Religion,"Anti-Multiple Religions, Group",14
1993,Religion,Anti-Other Religion,64
1993,Religion,Anti-Protestant,30
1993,Sexual Orientation,Anti-Bisexual,2
1993,Sexual Orientation,Anti-Gay (Male),615
1993,Sexual Orientation,Anti-Heterosexual,28
1993,Sexual Orientation,Anti-Lesbian (Female),121
1993,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",94
1994,Race,Anti-American Indian or Alaska Native,24
1994,Race,Anti-Arab,52
1994,Race,Anti-Asian,211
1994,Race,Anti-Black or African American,"2,178"
1994,Race,Anti-Hispanic or Latino,340
1994,Race,"Anti-Multiple Races, Group",127
1994,Race,Anti-Other Race/Ethnicity/Ancestry,251
1994,Race,Anti-White,"1,014"
1994,Religion,Anti-Atheism/Agnosticism,3
1994,Religion,Anti-Catholic,18
1994,Religion,Anti-Islamic (Muslim),17
1994,Religion,Anti-Jewish,919
1994,Religion,"Anti-Multiple Religions, Group",14
1994,Religion,Anti-Other Religion,67
1994,Religion,Anti-Protestant,30
1994,Sexual Orientation,Anti-Bisexual,7
1994,Sexual Orientation,Anti-Gay (Male),501
1994,Sexual Orientation,Anti-Heterosexual,14
1994,Sexual Orientation,Anti-Lesbian (Female),100
1994,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",64
1995,Race,Anti-American Indian or Alaska Native,41
1995,Race,Anti-Arab,55
1995,Race,Anti-Asian,355
1995,Race,Anti-Black or African American,"2,989"
1995,Race,Anti-Hispanic or Latino,516
1995,Race,"Anti-Multiple Races, Group",221
1995,Race,Anti-Other Race/Ethnicity/Ancestry,243
1995,Race,Anti-White,"1,228"
1995,Religion,Anti-Atheism/Agnosticism,1
1995,Religion,Anti-Catholic,31
1995,Religion,Anti-Islamic (Muslim),29
1995,Religion,Anti-Jewish,"1,059"
1995,Religion,"Anti-Multiple Religions, Group",19
1995,Religion,Anti-Other Religion,101
1995,Religion,Anti-Protestant,36
1995,Sexual Orientation,Anti-Bisexual,18
1995,Sexual Orientation,Anti-Gay (Male),735
1995,Sexual Orientation,Anti-Heterosexual,17
1995,Sexual Orientation,Anti-Lesbian (Female),146
1995,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",103
1996,Race,Anti-American Indian or Alaska Native,51
1996,Race,Anti-Arab,40
1996,Race,Anti-Asian,355
1996,Race,Anti-Black or African American,"3,675"
1996,Race,Anti-Hispanic or Latino,564
1996,Race,"Anti-Multiple Races, Group",210
1996,Race,Anti-Other Race/Ethnicity/Ancestry,337
1996,Race,Anti-White,"1,106"
1996,Religion,Anti-Atheism/Agnosticism,2
1996,Religion,Anti-Catholic,35
1996,Religion,Anti-Islamic (Muslim),27
1996,Religion,Anti-Jewish,"1,109"
1996,Religion,"Anti-Multiple Religions, Group",24
1996,Religion,Anti-Other Religion,156
1996,Religion,Anti-Protestant,75
1996,Sexual Orientation,Anti-Bisexual,10
1996,Sexual Orientation,Anti-Gay (Male),757
1996,Sexual Orientation,Anti-Heterosexual,15
1996,Sexual Orientation,Anti-Lesbian (Female),150
1996,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",85
1997,Disability,Anti-Mental Disability,3
1997,Disability,Anti-Physical Disability,10
1997,Race,Anti-American Indian or Alaska Native,38
1997,Race,Anti-Arab,34
1997,Race,Anti-Asian,346
1997,Race,Anti-Black or African American,"3,145"
1997,Race,Anti-Hispanic or Latino,490
1997,Race,"Anti-Multiple Races, Group",215
1997,Race,Anti-Other Race/Ethnicity/Ancestry,313
1997,Race,Anti-White,"1,009"
1997,Religion,Anti-Atheism/Agnosticism,3
1997,Religion,Anti-Catholic,32
1997,Religion,Anti-Islamic (Muslim),28
1997,Religion,Anti-Jewish,"1,088"
1997,Religion,"Anti-Multiple Religions, Group",24
1997,Religion,Anti-Other Religion,160
1997,Religion,Anti-Protestant,54
1997,Sexual Orientation,Anti-Bisexual,9
1997,Sexual Orientation,Anti-Gay (Male),761
1997,Sexual Orientation,Anti-Heterosexual,12
1997,Sexual Orientation,Anti-Lesbian (Female),187
1997,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",140
1998,Disability,Anti-Mental Disability,13
1998,Disability,Anti-Physical Disability,13
1998,Race,Anti-American Indian or Alaska Native,52
1998,Race,Anti-Arab,25
1998,Race,Anti-Asian,295
1998,Race,Anti-Black or African American,"2,960"
1998,Race,Anti-Hispanic or Latino,494
1998,Race,"Anti-Multiple Races, Group",288
1998,Race,Anti-Other Race/Ethnicity/Ancestry,254
1998,Race,Anti-White,802
1998,Religion,Anti-Atheism/Agnosticism,2
1998,Religion,Anti-Catholic,60
1998,Religion,Anti-Islamic (Muslim),21
1998,Religion,Anti-Jewish,"1,084"
1998,Religion,"Anti-Multiple Religions, Group",41
1998,Religion,Anti-Other Religion,128
1998,Religion,Anti-Protestant,60
1998,Sexual Orientation,Anti-Bisexual,17
1998,Sexual Orientation,Anti-Gay (Male),870
1998,Sexual Orientation,Anti-Heterosexual,12
1998,Sexual Orientation,Anti-Lesbian (Female),232
1998,Sexual Orientation,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",161
1999,Disability,Anti-Mental Disability,9
1999,Disability,Anti-Physical Disability,8
1999,Race,Anti-American Indian or Alaska Native,49
1999,Race,Anti-Arab,24
1999,Race,Anti-Asian,303
1999,Race,Anti-Black or African American,"2,983"
